Naslov,Mesto,Doplacilo,Posta,Cena,Ime_lokala
Trubarjeva cesta 40,LJUBLJANA,"4,24",1478,"6,93",ABI FALAFEL
Topniška 29a,LJUBLJANA,"2,64",1772,"5,33",AMBIENT
Leskoškova 9e,LJUBLJANA,"3,31",1865,"6,00",ANTARO
Ribji trg 2,LJUBLJANA,"4,31",2247,"7,00","AROMA, RESTAVRACIJA IN PIZZERIJA"
Kardeljeva ploščad 5,LJUBLJANA,"0,00",2924,"2,69",AULA COFE
Kongresni trg 3,LJUBLJANA,"3,61",2147,"6,30",AZIJSKA RESTAVRACIJA HAN
Gosposvetska cesta 4,LJUBLJANA,"3,44",2748,"6,13",AZIJSKA RESTAVRACIJA TLOFT
Tržaška cesta 200,LJUBLJANA,"4,30",2932,"6,99",B2 - DOSTAVA
Tržaška cesta 200,LJUBLJANA,"4,30",2886,"6,99",BABICA
Šmartinska 152g,LJUBLJANA,"4,31",3000,"7,00",BALKAN EKSPRESS-DOSTAVA
Šmartinska 152 g,LJUBLJANA,"3,81",2488,"6,50",BALKAN EXPRESS
Baragova 16,LJUBLJANA,"1,44",1817,"4,13",BAR ENKA
Dunajska cesta 106,LJUBLJANA,"3,70",2133,"6,39",BARBADO
Kardeljeva ploščad 17,LJUBLJANA,"0,00",2926,"2,69",BIGDIL COFE
Večna pot 111,LJUBLJANA,"2,91",2023,"5,60","BIOTEHNIŠKA FAKULTETA, MENZA BF"
Ižanska cesta 10,LJUBLJANA,"2,61",2102,"5,30",BIOTEHNIŠKI IZOBRAŽEVALNI CENTER LJUBLJANA
Cesta v Mestni log 47,LJUBLJANA,"2,61",2103,"5,30",BIOTEHNIŠKI IZOBRAŽEVALNI CENTER LJUBLJANA
Dunajska 101,LJUBLJANA,"3,31",2931,"6,00",BISTRO SUWON
Kardeljeva ploščad 5,LJUBLJANA,"3,94",1465,"6,63",BISTRO ŠUMI
Cankarjeva ulica 58,MURSKA SOBOTA,"3,31",2699,"6,00",BISTRO TANJA- DOSTAVA
Vojkovo nabrežje 12,KOPER/CAPODISTRIA,"3,10",2821,"5,79",BISTRO VILLA DOMUS
Kidričeva ulica 23,ROGAŠKA SLATINA,"3,94",1645,"6,63",BOHOR
Špelina ulica 17a,MARIBOR,"2,81",2471,"5,50",BOWLING CENTER STRIKE
Razlagova 9,MARIBOR,"1,44",2872,"4,13",BRUC BAR
Ulica Pariške komune 37,MARIBOR,"3,51",1161,"6,20",CANTANTE CAFE TABOR
Ulica Pariške komune 37,MARIBOR,"4,01",1673,"6,70",CANTANTE CAFE TABOR - DOSTAVA
Knafljev prehod 2,LJUBLJANA,"4,31",2707,"7,00",CANTINA MEXICANA KNAFELJ
Jurčkova cesta 223,LJUBLJANA,"4,14",2708,"6,83",CANTINA MEXICANA RUDNIK
Ankaranska 7,KOPER/CAPODISTRIA,"3,84",2243,"6,53",CITYBURGER
Knafljev prehod 1,LJUBLJANA,"1,31",2709,"4,00",CUTTY FOOD CORNER
Gramšijev trg 8,KOPER/CAPODISTRIA,"3,81",2195,"6,50",ČEVABDŽINICA SARAJEVO 84
Tomažičev trg 1,KOPER/CAPODISTRIA,"3,81",2686,"6,50",ČEVABDŽINICA SARAJEVO 84
Šubičeva 1a,LJUBLJANA,"4,31",1485,"7,00","DA BU DA, AZIJSKA RESTAVRACIJA"
Borštnikov trg 3,LJUBLJANA,"3,44",2951,"6,13",DAS IST WALTER LJUBLJANA CENTER
Eipprova 11,LJUBLJANA,"4,31",2930,"7,00",DEŽELA OKUSOV
Gortanova 21,LJUBLJANA,"1,74",2523,"4,43",DIFOOD-EAT GOOD
